level,model_name,piece_entries,maxColor,totalValidSideColor,maxLayerOfAPiece,total_piece_layers,custom_maxLayer_count,default_maxLayer_count,priorityCollectorColors_size
1,Wave1_Level1.prefab,12,4,0,0,0,0,0,4
2,Wave1_Level2.prefab,36,5,0,0,0,0,0,5
3,Wave1_Level3.prefab,60,6,0,0,0,0,0,6
4,Wave1_Level4.prefab,90,8,0,0,0,0,0,8
5,Wave1_Level5.prefab,120,10,0,0,0,0,0,10
6,Wave2_Level1.prefab,90,10,0,0,0,0,0,10
7,Wave2_Level2.prefab,108,10,0,0,0,0,0,10
8,Wave2_Level3.prefab,120,9,0,0,0,0,0,9
9,Wave2_Level4.prefab,111,13,0,0,0,0,0,13
10,Wave2_Level5.prefab,180,15,0,0,0,0,0,15
11,Wave3_Level1.prefab,114,10,0,0,0,0,0,10
12,Wave3_Level2.prefab,162,10,0,0,0,0,0,10
13,Wave3_Level3.prefab,141,9,0,0,0,0,0,9
14,Wave3_Level4.prefab,96,10,0,0,0,0,0,10
15,Wave3_Level5.prefab,165,10,0,0,0,0,0,10
16,Wave4_Level1.prefab,165,9,0,0,0,0,0,9
17,Wave4_Level2.prefab,150,9,0,0,0,0,0,9
18,Wave4_Level3.prefab,162,9,0,0,0,0,0,9
19,Wave4_Level4.prefab,162,10,0,0,0,0,0,10
20,Wave4_Level5.prefab,165,10,0,0,0,0,0,10
21,Wave5_Level1.prefab,120,10,0,0,0,0,0,10
22,Wave5_Level2.prefab,120,11,0,0,0,0,0,11
23,Wave5_Level3.prefab,138,10,0,0,0,0,0,10
24,Wave5_Level4.prefab,102,9,0,0,0,0,0,9
25,Wave5_Level5.prefab,165,14,0,0,0,0,0,14
